item_name,unit_cost
Classic Red Sauce Pasta (Penne),60
Creamy Alfredo Pasta (Fusilli),82
"Crunchy Capsicum Pizza [Regular, 7 inches]",71
Fiery Cheese Chilli Sandwich [2 slices],63
Fiesta Pizza Combo,137
"Golden Corn Classic Pizza [Regular, 7 inches]",70
"Paneer Makhni Royale Pizza [Regular, 7 inches]",83
Paneer Tikka Grilled Sandwich [2 slices],84
Street Style Korean Spicy Veg Maggi,58
Tangy Green Chutney Sandwich [2 slices],47
"Vegie Onion Capsicum Pizza [Regular, 7 inches]",86
"Zesty Onion Feast Pizza [Regular, 7 inches]",64
"⭐ Ultimate Cheese Delight Pizza [Regular, 7 inches]",77
🌙 Midnight Pizza Box Combo (7” Pizza + Small Fries),100
"🔥 Herb Paneer Delight Pizza [Regular, 7 inches]",82
🔥 Most Ordered Classic French Fries,36
Bestseller Veg Fried Rice,
Cheesy Corn Mix,
Chilli Garlic Potato Pops,
Creamy Cheese Maggi,
Garlic Fried Rice,
Mixed Treasure Fried Rice,
Paneer Fried Rice,
Pasta Treat Combo,
Sandwich Meal Box Combo,
Spicy Peri Peri French Fries,
Spicy Schezwan Special Fried Rice,
Tangy Masala Corn,
